Rank,Title,CEO,imagenames,fem_bios,fem_bio_links
220,Occidental Petroleum,Vicki A. Hollub,VickiHollub,"Ms. Vicki A. Hollub has been the President and Chief Executive Officer at Occidental Petroleum Corporation since December 10, 2015 and April 29, 2016 respectively. Ms. Hollub holds a Bachelor of Science in Mineral Engineering from the University of Alabama. She was inducted into the University of Alabama College of Engineering 2016 class of Distinguished Engineering Fellows.",https://www.bloomberg.com/research/stocks/people/person.asp?personId=237173040&privcapId=293286
234,Reinsurance Group of America,Anna Manning,AnnaManning,"Ms. Anna Manning is the President of Reinsurance Group of America, Incorporated (the “Company”) from December 2015 and has been its Chief Executive Officer from 2017. She holds a B.Sc. in Actuarial Science from the University of Toronto, is a Fellow of the Canadian Institute of Actuaries and a Fellow of the Society of Actuaries.",https://www.bloomberg.com/research/stocks/people/person.asp?personId=171942836&privcapId=325509
239,Guardian Life Ins. Co. of America,Deanna M. Mulligan,DeannaMulligan,"Ms. Deanna Marie Mulligan, CLU, ChFC, has been the Chief Executive Officer of The Guardian Life Insurance Company of America since July 1, 2011 and has been its President since November 1, 2010. She received a B.S. in Business Administration from the University of Nebraska and an M.B.A. from Stanford Graduate School of Business.",https://www.bloomberg.com/research/stocks/private/person.asp?personId=28043059&privcapId=164194
335,Hertz Global Holdings,Kathryn V. Marinello,KathrynMarinello,"Ms. Kathryn Vanstrom Marinello, also known as Kathy, has been the Chief Executive Officer, President and Director at Hertz Global Holdings, Inc. since January 3, 2017. Ms. Marinello has been the Chief Executive Officer and President at The Hertz Corporation since January 3, 2017. Her many accomplishments included being recognized as an Industry Leader by The Minneapolis/St. Paul Business Journal at its ninth annual Women in Business awards event this year. She holds BA in Liberal Arts from the State University of New York at Albany. Ms. Marinello holds an MBA in Marketing and Business from Hofstra University.",https://www.bloomberg.com/research/stocks/private/person.asp?personId=27849722&privcapId=30396158
346,Veritiv,Mary A. Laschinger,MaryLaschinger,Ms. Mary A. Laschinger has been the Chairman and Chief Executive Officer at Veritiv Corporation since July 2014 and served as its President and Principal Financial Officer. Ms. Laschinger holds a Bachelor’S Degree in Business from the University of Wisconsin and an MBA from the University of Connecticut. She has also completed postgraduate studies in Executive Management at the Kellogg School of Management at Northwestern University.,https://www.bloomberg.com/research/stocks/people/person.asp?personId=25128359&privcapId=257035113
358,Campbell Soup,Denise M. Morrison,DeniseMorrison,"Ms. Denise M. Morrison served as Chief Executive Officer and President of Campbell Soup Company from August 1, 2011 to May 18, 2018. She is regularly named among the Fortune and Forbes Most Powerful Women. She has been one of Fortune magazine's 'Most Powerful Women in Business' since 1999. In 2006, Ms. Morrison was awarded the Salute to Policy Makers awarded by the Executive Women of New Jersey. In 2003, she was named Executive of the Year by Snack Food & Bakery magazine and received the Althea Gibson Beacon award for business leadership. In 2001, she was appointed to the New York YWCA Academy of Women Achievers. She was inducted into the Order of the Cross and Crown Honor Society for academic and extracurricular achievement. Ms. Morrison earned her B.S. degree in economics and psychology from Boston College, graduating magna cum laude in 1975.",https://www.bloomberg.com/research/stocks/people/person.asp?personId=2763808&privcapId=185648
379,Hershey,Michele G. Buck,MicheleBuck,"Ms. Michele Gross Buck has been the Chief Executive Officer and President at The Hershey Company since March 1, 2017. Ms. Buck is responsible for all day-to-day global operations and commercial activities of Hershey Company. Ms. Buck is ranked as one of Fortune’s Most Powerful Women and serves as the Benefit Co-Chair of the Children’s Brain Tumor Foundation. Ms. Buck holds a Master of Business Administration from the University of North Carolina and a Bachelor of Science degree in business administration from Shippensburg University.",https://www.bloomberg.com/research/stocks/people/person.asp?personId=22071645&privcapId=98873
397,Yum China Holdings,Joey Wat,JoeyWat,"Ms. Joey Wat has been the Chief Executive Officer of Yum! China Holding, Inc since March 1, 2018 and has served as its President and Chief Operating Officer since February 7, 2017 until February 2018. Ms. Wat has been a Director of Yum! China Holding, Inc since July 2017. Ms. Wat served as Chief Executive Officer, KFC from October 2016 to February 2017, a position she held at Yum! Restaurants China from August 2015 to October 2016. Ms. Wat joined Yum! Restaurants China in September 2014 as President of KFC China and was promoted to Chief Executive Officer for KFC China in August 2015.",https://www.bloomberg.com/research/stocks/private/person.asp?personId=401966880&privcapId=318807568
412,KeyCorp,Beth E. Mooney,BethMooney,"Ms. Beth E. Mooney has been the Chairman and Chief Executive Officer of KeyCorp. since May 1, 2011 and serves as its President. Ms. Mooney serves as the Chief Executive Officer of KeyBank National Association. In 2006, USBanker magazine listed her as fifth among the nation's top ten banking Chief Financial Officers. She received the YWCA Women of Achievement Award in 2008 and was recognized in USBanker's 'The 25 Most Powerful Women in Banking' editions in 2005, 2006, 2007 and 2008. She was selected as one of the 2007-2008 Distinguished Alumni recipients from the Cox School of Business at Southern Methodist University. Ms. Mooney received her B.A. in history from the University of Texas in 1977 and received her Master of Business Administration Degree from Southern Methodist University in 1983.",https://www.bloomberg.com/research/stocks/people/person.asp?personId=170442&privcapId=329376
426,Graybar Electric,Kathleen M. Mazzarella,KathleenMazzarella,"Ms. Kathleen M. Mazzarella, also known as Kathy, has been the Chief Executive Officer and President of Graybar Canada Limited since June 1, 2012. Ms. Mazzarella holds Associate Degree in Telecommunications Engineering and a Bachelor's Degree in Applied Behavioral Sciences before earning her Masters in Business Administration from Webster University.",https://www.bloomberg.com/research/stocks/private/person.asp?personId=10078028&privcapId=164137
429,CMS Energy,Patricia K. Poppe,PatriciaPoppe,"Ms. Patricia Kessler Poppe, also known as Patti, has been the Chief Executive Officer and President at CMS Energy Corp. and Consumers Energy Company since July 01, 2016. Ms. Poppe served as an Senior Vice President of Distribution Operations, Transmission & Engineering at CMS Energy Corp. since March 2015 until July 01, 2016. She has been Chairman of the Board, CEO and Director at CMS Enterprises since July 2016 and was its Director since July 2016 until September 2017. ",https://www.bloomberg.com/research/stocks/people/person.asp?personId=118040612&privcapId=257682
471,Ulta Beauty,Mary N. Dillon,MaryDillon,"Ms. Mary N. Dillon has been the Chief Executive Officer of Ulta Beauty, Inc. since July 1, 2013 and serves as its President. She was named one of FierceWireless' 'Most Influential Women in Wireless' in 2011. She was Named to Fortune's Business Person of the Year list in 2015. Ms. Dillon received Bachelor of Science in Marketing and Asian Studies from the University of Illinois at Chicago.",https://www.bloomberg.com/research/stocks/people/person.asp?personId=11418764&privcapId=35929
